feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
tech_kd9_k,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_slow_kd_14,0.91050425,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_kdj_j_9,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_kd9_k,0.88732543,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_keltner_pos_20,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_bbands_pctb_20,0.92855526,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_limit_up_streak_10,strategy95,event,core_prior,keep_candidate,materialized,True,related_cluster,vola_realized_1m,0.41915468,tech_limit_up_streak_10,69,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_locked_open_down_10,strategy95,event,core_prior,keep_candidate,materialized,True,related_cluster,tech_limit_down_count_10,0.41853407,tech_locked_open_down_10,70,5,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_locked_open_up_10,strategy95,event,core_prior,keep_candidate,materialized,True,independent_candidate,tech_limit_up_streak_10,0.25680193,tech_locked_open_up_10,71,21,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_ma_convergence,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_bbBandwidthPct,0.86924211,tech_ma_convergence,5,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_mfi_14,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,related_cluster,mom_rsi_14,0.79645662,tech_mfi_14,72,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_mtm_10,strategy95,technical,core_prior,keep_candidate,materialized,True,high_duplicate,tech_roc_10,0.913223,mom_macd_trend_10,1,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_obv,strategy95,technical,core_prior,keep_candidate,materialized,True,related_cluster,tech_vr_26,0.7470273,tech_obv,73,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
