strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
l1_macdHist,stockvision_l1,l1_signal,BETA_10,0.7290458359433415,0.7290458359433415,848433,-0.021495125567087565,-0.024214918688092158
tech_kdj_j_9,alphabuilderstw,technical,bb_position,0.7280562246346116,0.7280562246346116,847529,-0.022252550501434633,-0.024891557255207197
tech_kdj_j_9,alphabuilderstw,technical,return_5d,0.7257521085816723,0.7257521085816723,847529,-0.022252550501434633,-0.030274600970103344
vol_money_flow_5d,alphabuilderstw,volume,ma10_bias,-0.7241444096563063,0.7241444096563063,842581,0.02842568873514042,-0.039719990304153976
tech_dma_10_50,alphabuilderstw,technical,BETA_60,0.723710825044775,0.723710825044775,809959,-0.005591782171573579,0.0024759305610545326
tech_keltner_pos_20,alphabuilderstw,technical,BETA_20,0.7214959416604912,0.7214959416604912,846288,-0.028257118209128525,-0.014284701210931674
tech_wma_10_pos,alphabuilderstw,technical,keltner_position,0.7213760586386212,0.7213760586386212,837073,-0.041090535300176596,-0.026209558310383026
vol_share_turnover_21d,alphabuilderstw,volume,VSTD_10,-0.7205488156012477,0.7205488156012477,824510,0.022877627495641394,-0.011198127329158208
l1_squeezeMomentum,stockvision_l1,l1_signal,ma10_bias,0.7196512959611885,0.7196512959611885,828424,-0.026841176628363144,-0.039719990304153976
l1_smcBiasBearish,stockvision_l1,l1_signal,keltner_position,0.7192005331249034,0.7192005331249034,848433,-0.015909384224597457,-0.026209558310383026
tech_williams_r_14,alphabuilderstw,technical,BETA_10,-0.7188917377261547,0.7188917377261547,833309,0.01955197803203668,-0.024214918688092158
mom_reversal_1m,alphabuilderstw,momentum,rsi14,-0.7184478484078959,0.7184478484078959,843817,0.02252116697656678,-0.016774643423643286
