id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
ml106_volatility_20d_high,ml_feature_single,volatility_20d,price_technical,high,1,0.8490103270223752,0.28881552278116934,ok,0.083,-0.010612293287578956,0.06737155954141087,1.7454936867912825,-0.03489611988004948,-0.3543649582534386,-0.049113578866996854,-0.10535483604303128,-0.02994651015941525,0.3979328165374677,10.0,10.0,409,,830,10.0,10,10
ml106_volatility_20d_low,ml_feature_single,volatility_20d,price_technical,low,-1,0.8490103270223752,0.28881552278116934,ok,0.076,0.033253543999161916,0.14121453970507686,2.4164648140380494,0.1150593934695272,-0.40730346967219666,0.15861162721279515,0.30571030521530035,0.08164115963541338,0.4652956298200514,10.0,10.0,410,,830,10.0,10,10
ml106_rsi14_high,ml_feature_single,rsi14,price_technical,high,1,0.8490103270223752,0.2888145601511429,ok,0.076,0.23750208742165713,0.3283687835464584,2.033847247496623,1.0328549977201718,-0.24000349075938632,0.8591419048345269,2.5414076721741954,0.9895364076003258,0.4524421593830334,10.0,10.0,410,,830,10.0,10,10
ml106_rsi14_low,ml_feature_single,rsi14,price_technical,low,-1,0.8490103270223752,0.2888145601511429,ok,0.076,-0.015284197359830665,0.046452929889016684,1.3818471637943175,-0.04998492762823792,-0.22822558407757831,-0.16979888256834533,-0.3171270817098892,-0.06696675902490076,0.4289405684754522,10.0,10.0,410,,830,10.0,10,10
ml106_macdHist_high,ml_feature_single,macdHist,price_technical,high,1,0.8490103270223752,0.28881643207292346,ok,0.076,0.3413580402574554,0.4356795831277098,2.1111762452859972,1.658430178772483,-0.27697274185416154,1.1633881365923053,2.8414390977521085,1.2324162797016036,0.5564102564102564,10.0,10.0,408,,830,10.0,10,10
ml106_macdHist_low,ml_feature_single,macdHist,price_technical,low,-1,0.8490103270223752,0.28881643207292346,ok,0.076,0.2188793600490051,0.3383858697327532,2.6748852565783956,0.9327813296951004,-0.43256272881233915,0.6163508593174855,1.8287262483694853,0.5059943576423663,0.5051282051282051,10.0,10.0,406,,830,10.0,10,10
ml106_bb_position_high,ml_feature_single,bb_position,price_technical,high,1,0.8490103270223752,0.2888164250896485,ok,0.076,0.14837405278389437,0.20898505497761644,1.3566413794819048,0.585006891791886,-0.2757609317919303,0.7122178279157613,1.5047468264232398,0.5380336927455533,0.42930591259640105,10.0,10.0,410,,830,10.0,10,10
ml106_bb_position_low,ml_feature_single,bb_position,price_technical,low,-1,0.8490103270223752,0.2888164250896485,ok,0.083,0.014747677914479729,0.08566446911288315,1.5873133582634813,0.049947159044039235,-0.2829050924073869,0.04655257979288428,0.09177089727173872,0.052127575764829244,0.45618556701030927,10.0,10.0,409,,830,10.0,10,10
ml106_vol_ratio_5d_high,ml_feature_single,vol_ratio_5d,other,high,1,0.8490103270223752,0.28881642517212086,ok,0.076,0.055249955016087204,0.1095873660656872,1.216221108639574,0.19606622254159323,-0.3218807868238932,0.2650623759445467,0.5477397132110441,0.17164192725501806,0.4318766066838046,10.0,10.0,410,,830,10.0,10,10
ml106_vol_ratio_5d_low,ml_feature_single,vol_ratio_5d,other,low,-1,0.8490103270223752,0.28881642517212086,ok,0.076,0.050229267117985366,0.0811367391162188,0.6917944586028438,0.17722546188652943,-0.19032495783733472,0.317761406474247,0.6488936569949335,0.26389932616010886,0.4282051282051282,10.0,10.0,410,,830,10.0,10,10
